CHECK_NUM;CHECK_NAME;CHECK_BASE_CD;CHECK_CODE;CHECK_DEPENDENCE_CD;CHECK_BASE_DESC;CHECK_ANALYST_NAME;CHECK_LVL;CHECK_TGT_TABLE;CHECK_SQL_TEXT;CHECK_SQL_TEXT_UAT
КОД;Кем выдан Поручителя ФЛ;Заемщик (ЮЛ) Поручители (ЮЛ);COD_ID_SOURCE;;CLF;Амелин Сергей;1;CLF_CHECK;select CLF.f7m_id ,'COD_ID_SOURCE' as check_name ,1 as check_lvl ,case when clf.ID_SOURCE rlike '^[А-ЯЁа-яё0-9 /\"]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf ;select CLF.f7m_id ,'COD_ID_SOURCE' as check_name ,1 as check_lvl ,case when clf.ID_SOURCE rlike '^[А-ЯЁа-яё0-9 /\"]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf
КОД;ИНН Поручителя-юридического лица;Заемщик (ЮЛ) Поручители (ЮЛ);COD_INN;;CLU;Амелин Сергей;1;CLU_CHECK;select CLU.u7m_id ,'COD_INN' as check_name ,1 as check_lvl ,case when ((2* substr(clu.inn,1,1) + 4*substr(inn,2,1) + 10*substr(inn,3,1) + 3*substr(inn,4,1) + 5*substr(inn,5,1) + 9*substr(inn,6,1) + 4*substr(inn,7,1) + 6*substr(inn,8,1) + 8*substr(inn,9,1)) %11 ) %10 <> substr(inn,10,1) and length(inn) =  10 then 1 when length(inn) = 12 and inn not rlike '^[0-9]+$' then 1 when inn = '111111111111' then 1 else 0 end as check_flg from {{schema_k7m_pa}}.CLU ; select CLU.u7m_id ,'COD_INN' as check_name ,1 as check_lvl ,case when ((2* substr(clu.inn,1,1) + 4*substr(inn,2,1) + 10*substr(inn,3,1) + 3*substr(inn,4,1) + 5*substr(inn,5,1) + 9*substr(inn,6,1) + 4*substr(inn,7,1) + 6*substr(inn,8,1) + 8*substr(inn,9,1)) %11 ) %10 <> substr(inn,10,1) then 1 when length(inn) = 12 and inn not rlike '^[0-9]+$' then 1 when inn = '111111111111' then 1 else 0 end as check_flg from {{schema_k7m_pa}}.CLU
КОД;КПП Поручителя-юридического лица;Заемщик (ЮЛ) Поручители (ЮЛ);COD_KPP;;CLU;Амелин Сергей;1;CLU_CHECK; select CLU.u7m_id ,'COD_KPP' as check_name ,1 as check_lvl ,case when (CLU.KPP rlike '^[0-9]+$') and length(CLU.KPP) = 9 then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU ; select CLU.u7m_id ,'COD_KPP' as check_name ,1 as check_lvl ,case when (CLU.KPP rlike '^[0-9]+$') and length(CLU.KPP) = 9 then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU
КОД;Фамилия Поручителя ФЛ;Заемщик (ЮЛ) Поручители (ЮЛ);COD_L_NAME;;CLF;Амелин Сергей;1;CLF_CHECK; select CLF.f7m_id, 'COD_L_NAME' as check_name ,1 as check_lvl ,case when clf.l_name rlike '^[А-ЯЁа-яё ]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf ; select CLF.f7m_id, 'COD_L_NAME' as check_name ,1 as check_lvl ,case when clf.l_name rlike '^[А-ЯЁа-яё ]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf
КОД;ОГРН Поручителя-юридического лица;Заемщик (ЮЛ) Поручители (ЮЛ);COD_OGRN;;CLU;Амелин Сергей;1;CLU_CHECK;select CLU.u7m_id ,'COD_OGRN' as check_name ,1 as check_lvl, case when length(clu.ogrn) = 13 and (cast(substr(clu.ogrn,1,12) as double) % 11 ) %10 = (substr(clu.ogrn,13,1)) then 0  when length(clu.ogrn) = 15 and (cast(substr(clu.ogrn,1,14) as double) % 13 ) %10 = (substr(clu.ogrn,15,1)) then 0  else 1 end as check_flg from {{schema_k7m_pa}}.CLU -- Контрольная цифра равна остатку от деления на 11 числа, состоящего из первых 12 цифр ОГРН. Если остаток больше 9, то n1 = последней цифре остатка. ; select CLU.u7m_id ,'COD_OGRN' as check_name ,1 as check_lvl,case when length(clu.ogrn) = 13 and (cast(substr(clu.ogrn,1,12) as double) % 11 ) %10 = (substr(clu.ogrn,13,1)) then 0  when length(clu.ogrn) = 15 and (cast(substr(clu.ogrn,1,14) as double) % 13 ) %10 = (substr(clu.ogrn,15,1)) then 0  else 1 end as check_flg from {{schema_k7m_pa}}.CLU -- Контрольная цифра равна остатку от деления на 11 числа, состоящего из первых 12 цифр ОГРН. Если остаток больше 9, то n1 = последней цифре остатка.
КОД;Организационно правовая форма Заемщика;Заемщик (ЮЛ) Поручители (ЮЛ);COD_OPF;;CLU;Амелин Сергей;1;CLU_CHECK;select CLU.u7m_id ,'COD_OPF' as check_name ,1 as check_lvl ,case when CLU.OPF rlike '^[0-9]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU ;select CLU.u7m_id ,'COD_OPF' as check_name ,1 as check_lvl ,case when CLU.OPF rlike '^[0-9]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU
КОД;Отчество Поручителя ФЛ;Заемщик (ЮЛ) Поручители (ЮЛ);COD_S_NAME;;CLF;Амелин Сергей;1;CLF_CHECK;select CLF.f7m_id,'COD_S_NAME' as check_name ,1 as check_lvl ,case when clf.s_name rlike '^[А-Я а-я]+$' and length(clf.s_name) > 1 then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf;select CLF.f7m_id,'COD_S_NAME' as check_name ,1 as check_lvl ,case when clf.s_name rlike '^[А-Я а-я]+$' and length(clf.s_name) > 1 then 0 else 1 end as check_flg from {{schema_k7m_pa}}.clf
КОД;Номер договора ДБО (только для ЮЛ – Клиентов СББОЛ).;Заемщик (ЮЛ) Поручители (ЮЛ);COD_SBBOL_NDOG;;CLU;Амелин Сергей;1;CLU_CHECK;select CLU.u7m_id ,'COD_SBBOL_NDOG' as check_name ,1 as check_lvl ,case when CLU.SBBOL_NDOG rlike '^[/0-9]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU ; select CLU.u7m_id ,'COD_SBBOL_NDOG' as check_name ,1 as check_lvl ,case when CLU.SBBOL_NDOG rlike '^[/0-9]+$' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU
КОД;Краткое наименование Заемщика;Заемщик (ЮЛ) Поручители (ЮЛ);COD_SHORT_NAME;;CLU;Амелин Сергей;1;CLU_CHECK;select CLU.u7m_id ,'COD_SHORT_NAME' as check_name ,1 as check_lvl ,case when CLU.SHORT_NAME rlike '^[А-ЯЁа-яё0-9 /\"-]' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU;select CLU.u7m_id ,'COD_SHORT_NAME' as check_name ,1 as check_lvl ,case when CLU.SHORT_NAME rlike '[А-ЯЁа-яё0-9 /\"-]' then 0 else 1 end as check_flg from {{schema_k7m_pa}}.CLU
29;Страна ведения основной деятельности контрагента;Заемщик (ЮЛ);COUNTR;;CLU{FLAG_BASIS_CLIENT = 'Y'};Кузнецов Максим;2;CLU_CHECK;select clu.u7m_id, 'COUNTR' as check_name, 2 as check_lvl, cc.flag_countr as check_flg from  {{schema_k7m_pa}}.clu join {{schema_k7m_aux}}.check_countr cc on cc.crm_id = clu.crm_id where clu.flag_basis_client = 'Y';select clu.u7m_id, 'COUNTR' as check_name, 1 as check_lvl, cc.flag_countr as check_flg from  {{schema_k7m_pa}}.clu join {{schema_k7m_aux}}.check_countr cc on cc.crm_id = clu.crm_id where clu.flag_basis_client = 'Y';
8;Адрес регистрации, место фактического нахождения и наличие связей с Республикой Крым и городом Севастополь;Заемщик (ЮЛ);CRIMEA_CRM;;CLU{FLAG_BASIS_CLIENT = 'Y'};Постнова Мария;1;SCORE_CHECK;select clu.u7m_id, 'CRIMEA_CRM', 1 as check_lvl, chk.crimea_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_039 chk on clu.crm_id = chk.crm_id where flag_basis_client = 'Y' ; select clu.u7m_id, 'CRIMEA_CRM', 1 as check_lvl, chk.crimea_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_039 chk on clu.crm_id = chk.crm_id where flag_basis_client = 'Y'
8;Адрес регистрации, место фактического нахождения и наличие связей с Республикой Крым и городом Севастополь;Заемщик (ЮЛ);CRIMEA_EKS;;CLU{FLAG_BASIS_CLIENT = 'Y'};Постнова Мария;1;SCORE_CHECK;select clu.u7m_id, 'CRIMEA_EKS', 1 as check_lvl, chk.crimea_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string) where flag_basis_client = 'Y' ; select clu.u7m_id, 'CRIMEA_EKS', 1 as check_lvl, chk.crimea_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string) where flag_basis_client = 'Y'
32;Проверка контрагента на предмет наличия у него выданных поручительств по кредитным обязательствам, по которым имеется просроченная задолженность (проверка наличия просроченной задолженности по договорам поручительства);Заемщик (ЮЛ) Поручители (ЮЛ, ИП, ФЛ);DPDSU;;CLU;Постнова Мария;1;CLU_CHECK;select clu.u7m_id, 'DPDSU', 1 as check_lvl, case when t.c_inn is not null then 1 when t.c_inn is null then 0 end as check_flg from  {{schema_k7m_pa}}.clu clu left join (select distinct cl.c_inn from  {{schema_k7m_aux}}.k7m_cred_bal c inner join   {{schema_k7m_aux}}.k7m_zalog_dispensed z on c.cred_id = z.cred_id inner join  {{schema_k7m_stg}}.eks_z_client cl on cl.id = zalog_client_id where z.zalog_acc like '91414%' and c_name_account in (1189819973, 2049610)) t on clu.inn = t.c_inn;
33;Проверка соответствия данных по контрагенту в ЕКС и Роботе-юристе;Заемщик (ЮЛ) Поручители (ЮЛ);EKS2RLWOFF;;CLU;Амелин Сергей;1;CLU_CHECK;select clu.u7m_id, 'EKS2RLWOFF', 1 as check_lvl, case when (ru_ogrn <> ogrn or ru_kpp <> kpp or lower(regexp_replace(ru_full_name, ' ', '')) <> lower(regexp_replace(full_name, ' ', '')) or lower(regexp_replace(ru_short_name, ' ', '')) <> lower(regexp_replace(short_name, ' ', ''))) then 1 else 0 end as check_flg from  {{schema_k7m_pa}}.clu where flag_basis_client = 'Y';
9;Наличие у заемщика принятых на обслуживание в Банке внешнеторговых контрактов с контрагентами из юрисдикций высокого комплаенс-риска;Заемщик (ЮЛ);EXTC;;CLU{FLAG_BASIS_CLIENT = 'Y'};Амелин Сергей;1;SCORE_CHECK;select clu_flag.u7m_id ,'EXTC' as check_name ,1 as check_lvl ,max(clu_flag.FLAG_COUNTRY_COMPLIANCE) from ( select clu.u7m_id ,clu.crm_id ,case when cc.code is null then 0 else 1 end as FLAG_COUNTRY_COMPLIANCE FROM {{schema_k7m_pa}}.clu left join {{schema_k7m_stg}}.eks_z_psd PSD on substr(psd.C_P_1_5_INN_KPP,1,10) = clu.inn left join {{schema_k7m_stg}}.eks_Z_PS_RECV_N PS on PSD.C_NOTREZIDENT = PS.COLLECTION_ID left join {{schema_k7m_stg}}.eks_z_country C on PS.C_COUNTRY = C.ID left join internal_rdm.rdm_ctry_compl_k7m_mast_v CC on C.C_ALFA_2 = CC.code WHERE psd.C_P_1_5_INN_KPP is not null and clu.flag_basis_client = 'Y' ) clu_flag where FLAG_COUNTRY_COMPLIANCE = 1 group by clu_flag.u7m_id;
30;Совместные клиенты на уровне Группы Сбербанка;Заемщик (ЮЛ);GRCL;;CLU{FLAG_BASIS_CLIENT = 'Y'};Кузнецов Максим;1;SCORE_CHECK;select clu.u7m_id, 'GRCL', 1 as check_lvl, case when r.crm_id is not null then 1 when r.crm_id is null then 0 end as check_flg from {{schema_k7m_pa}}.clu clu left join internal_rdm.rdm_collab_list_k7m_mast_v r on clu.crm_id = r.crm_id where clu.flag_basis_client = 'Y';select clu.u7m_id, 'GRCL', 1 as check_lvl, case when r.crm_id is not null then 1 when r.crm_id is null then 0 end as check_flg from {{schema_k7m_pa}}.clu clu left join internal_rdm.rdm_collab_list_k7m_mast_v r on clu.crm_id = r.crm_id where clu.flag_basis_client = 'Y'
10;Проверка в составе данных о клиенте (потенциальном заемщике), а также в составе информации о заключенных ранее с заемщиком сделок, указаний на юрисдикции высокого комплаенс-риска;Заемщик (ЮЛ);HJR;;CLU{FLAG_BASIS_CLIENT = 'Y'};Постнова Мария;1;SCORE_CHECK;select clu.u7m_id, 'HJR', 1 as check_lvl, chk.hjr_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string) where flag_basis_client = 'Y' ; select clu.u7m_id, 'HJR', 1 as check_lvl, chk.hjr_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string) where flag_basis_client = 'Y'
28;Внутренняя кредитная история по юридическим и физическим лицам;Заемщик (ЮЛ) Поручители (ЮЛ, ИП);INTCRH;;CLU;Постнова Мария;1;CLU_CHECK; select clu.u7m_id, 'INTRH', 1 as check_lvl, chk.intcrh_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string) ; select clu.u7m_id, 'INTRH', 1 as check_lvl, chk.intcrh_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string)
34;Ограничение по категории качества ссуды;Заемщик (ЮЛ);KKSOFF;;CLU;Постнова Мария;1;SCORE_CHECK; select clu.u7m_id, 'KKSOF', 1 as check_lvl, chk.kksoff_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string) ; select clu.u7m_id, 'KKSOF', 1 as check_lvl, chk.kksoff_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_010 chk on clu.eks_id = cast(chk.eks_id as string)
;Проверка терр.подразделения КМ;Заемщик (ЮЛ);KMTERR;;CLU{FLAG_BASIS_CLIENT = 'Y'};Постнова Мария;1;SCORE_CHECK;select clu.u7m_id, 'KMTERR', 1 as check_lvl, case when vko.org_crm_id is null  then 1  when vko.org_crm_id is not null then 0 else -1  end as check_flg FROM  {{schema_k7m_pa}}.clu clu left JOIN {{schema_k7m_aux}}.k7m_vko vko ON vko.org_crm_id = clu.crm_id  where flag_basis_client = 'Y';select clu.u7m_id, 'KMTERR', 1 as check_lvl, case when vko.org_crm_id is null  then 1  when vko.org_crm_id is not null then 0 else -1  end as check_flg FROM  {{schema_k7m_pa}}.clu clu left JOIN {{schema_k7m_aux}}.k7m_vko vko ON vko.org_crm_id = clu.crm_id  where flag_basis_client = 'Y'
16;Отсечение крупных ГСЗ;Заемщик (ЮЛ);LGSZ;;CLU{FLAG_BASIS_CLIENT = 'Y'};Спирин Артем;1;SCORE_CHECK; SELECT a.U7M_ID, 'LGSZ' as check_name, 1 as check_lvl, CASE WHEN d1_1.code is not null or d1_2.code is not null or d1_3.code is not null or d1_4.code is not null THEN 1 ELSE 0 END as check_flg from {{schema_k7m_pa}}.clu a LEFT JOIN {{schema_k7m_stg}}.crm_cx_gsz a1_1 ON (a1_1.row_id = a.crm_gsz_id and a1_1.status <> 'Закрыта') LEFT JOIN internal_rdm.rdm_major_gsz_k7m_mast_v d1_1 on (d1_1.code = a1_1.row_id) LEFT JOIN {{schema_k7m_stg}}.crm_cx_gsz a1_2 ON (a1_1.parent_gsz_id = a1_2.row_id and a1_2.status <> 'Закрыта') LEFT JOIN internal_rdm.rdm_major_gsz_k7m_mast_v d1_2 on (d1_2.code = a1_2.row_id) LEFT JOIN {{schema_k7m_stg}}.crm_cx_gsz a1_3 ON (a1_2.parent_gsz_id = a1_3.row_id and a1_3.status <> 'Закрыта') LEFT JOIN internal_rdm.rdm_major_gsz_k7m_mast_v d1_3 on (d1_3.code = a1_3.row_id) LEFT JOIN {{schema_k7m_stg}}.crm_cx_gsz a1_4 ON (a1_3.parent_gsz_id = a1_4.row_id and a1_4.status <> 'Закрыта') LEFT JOIN internal_rdm.rdm_major_gsz_k7m_mast_v d1_4 on (d1_4.code = a1_4.row_id) where a.flag_basis_client = 'Y'; SELECT a.U7M_ID, 'LGSZ' as check_name, 1 as check_lvl, CASE WHEN d1_1.code is not null or d1_2.code is not null or d1_3.code is not null or d1_4.code is not null THEN 1 ELSE 0 END as check_flg from {{schema_k7m_pa}}.clu a LEFT JOIN {{schema_k7m_stg}}.crm_cx_gsz a1_1 ON (a1_1.row_id = a.crm_gsz_id and a1_1.status <> 'Закрыта') LEFT JOIN internal_rdm.rdm_major_gsz_k7m_mast_v d1_1 on (d1_1.code = a1_1.row_id) LEFT JOIN {{schema_k7m_stg}}.crm_cx_gsz a1_2 ON (a1_1.parent_gsz_id = a1_2.row_id and a1_2.status <> 'Закрыта') LEFT JOIN internal_rdm.rdm_major_gsz_k7m_mast_v d1_2 on (d1_2.code = a1_2.row_id) LEFT JOIN {{schema_k7m_stg}}.crm_cx_gsz a1_3 ON (a1_2.parent_gsz_id = a1_3.row_id and a1_3.status <> 'Закрыта') LEFT JOIN internal_rdm.rdm_major_gsz_k7m_mast_v d1_3 on (d1_3.code = a1_3.row_id) LEFT JOIN {{schema_k7m_stg}}.crm_cx_gsz a1_4 ON (a1_3.parent_gsz_id = a1_4.row_id and a1_4.status <> 'Закрыта') LEFT JOIN internal_rdm.rdm_major_gsz_k7m_mast_v d1_4 on (d1_4.code = a1_4.row_id) where a.flag_basis_client = 'Y'
26;Отрицательные чистые активы контрагента;Заемщик (ЮЛ);NCA;;CLU{FLAG_BASIS_CLIENT = 'Y'};Спирин Артем;1;SCORE_CHECK;select clu.u7m_id,'NCA' as check_name, 1 as check_lvl, 1 as check_flg from {{schema_k7m_pa}}.clu clu left join ( select a.crm_cust_id, a.fin_stmt_rep_dt,a.fin_stmt_1300_amt as amt from {{schema_k7m_aux}}.fok_fin_stmt_rsbu a join ( select crm_cust_id, max(fin_stmt_rep_dt) as fin_stmt_rep_dt from {{schema_k7m_aux}}.fok_fin_stmt_rsbu group by crm_cust_id) b on a.crm_cust_id = b.crm_cust_id and a.fin_stmt_rep_dt = b.fin_stmt_rep_dt) fok on (clu.crm_id = fok.crm_cust_id) left join ( select a.cust_inn_num, a.fin_stmt_rep_dt,a.fin_stmt_1300_amt as amt from {{schema_k7m_aux}}.int_fin_stmt_rsbu a join ( select cust_inn_num, max(fin_stmt_rep_dt) as fin_stmt_rep_dt from {{schema_k7m_aux}}.int_fin_stmt_rsbu group by cust_inn_num) b on a.cust_inn_num = b.cust_inn_num and a.fin_stmt_rep_dt = b.fin_stmt_rep_dt) intg on (clu.inn = intg.cust_inn_num) where clu.flag_basis_client = 'Y' and (fok.crm_cust_id is not null or intg.cust_inn_num is not null) and case when coalesce(intg.fin_stmt_rep_dt, cast('1900-01-01 00:00:00' as timestamp)) > coalesce(fok.fin_stmt_rep_dt, cast('1900-01-01 00:00:00' as timestamp)) then intg.amt else fok.amt end < 0;
19;Проверка на предмет наличия новых запрошенных продуктов, которые могут повлиять на риск-сегмент контрагента;Заемщик (ЮЛ);NPR;;CLU{FLAG_BASIS_CLIENT = 'Y'};Постнова Мария;1;SCORE_CHECK;select clu.u7m_id, 'NPR', 1 as check_lvl, chk.npr_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_039 chk on clu.crm_id = chk.crm_id ; select clu.u7m_id, 'NPR', 1 as check_lvl, chk.npr_flg from {{schema_k7m_pa}}.clu clu inner join {{schema_k7m_stg}}.ods_t_check_039 chk on clu.crm_id = chk.crm_id
